Model,Overall,Argument-Structure,SV-H,Morphology,Nominal-Structure,Ellipsis,Quantifier,Binding,Island,Filler-Gap,NPI,Control-Raising
Trans-LG,77.95,89.05,53.55,82.86,95.65,85.96,73.81,58.97,75.76,55.56,50.00,16.67
Trans-SM,76.54,89.05,44.26,82.86,97.10,89.47,71.43,46.15,84.85,55.56,75.00,0.00
LSTM,75.73,86.67,46.99,83.81,95.65,91.23,66.67,41.03,87.88,44.44,66.67,50.00
5-gram,74.02,78.57,57.38,82.86,86.96,89.47,78.57,53.85,72.73,66.67,50.00,0.00
Human,90.90,92.19,89.62,94.86,97.68,87.37,85.71,82.05,92.12,78.52,90.00,70.00
Model-Average,76.06,85.76,50.55,83.10,93.84,89.03,72.62,50.00,80.31,55.56,60.42,16.67
